Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
2024-04-20 03:29:55,2024-04-21 00:53:17,UTC-07:00,2024-04-20 18:18:22,2024-04-20 18:46:18,27,Cycling,8.2,257.0,156,133,2,32,63,3,0,false,,,
2024-04-20 03:29:55,2024-04-21 00:53:17,UTC-07:00,2024-04-20 17:50:00,2024-04-20 18:17:00,27,Running,4.6,66.0,148,89,14,4,9,0,0,false,,,
2024-04-17 02:06:03,2024-04-18 03:01:57,UTC-07:00,2024-04-17 20:40:30,2024-04-17 21:26:59,46,Box Fitness,9.1,318.0,180,121,33,36,20,6,3,false,,,
2024-04-16 02:21:20,2024-04-17 02:06:03,UTC-07:00,2024-04-16 18:57:00,2024-04-16 19:16:29,19,Spin,5.8,140.0,138,123,3,90,7,0,0,false,,,
2024-04-15 02:38:52,2024-04-16 02:21:20,UTC-07:00,2024-04-15 10:50:00,2024-04-15 11:58:00,68,Cycling,7.2,287.0,144,107,54,35,3,0,0,false,,,
2024-04-14 02:07:14,2024-04-15 02:38:52,UTC-07:00,2024-04-14 13:48:00,2024-04-14 14:22:29,34,Basketball,10.9,357.0,165,139,8,14,28,48,0,false,,,
2024-04-13 03:35:09,2024-04-14 02:07:14,UTC-07:00,2024-04-13 20:24:00,2024-04-13 21:04:29,40,Activity,11.4,436.0,165,141,0,10,66,24,0,false,,,
2024-04-08 03:24:27,2024-04-09 02:30:11,UTC-07:00,2024-04-08 17:37:13,2024-04-08 18:00:30,23,Running,10.9,300.0,172,152,0,1,31,68,0,false,,,
2024-04-05 02:19:53,2024-04-06 03:10:25,UTC-07:00,2024-04-05 21:59:00,2024-04-05 22:59:00,60,Running,9.0,291.0,169,105,22,6,12,15,0,false,,,
2024-04-03 02:21:51,2024-04-04 01:22:23,UTC-07:00,2024-04-03 16:28:30,2024-04-03 16:53:59,25,Weightlifting,5.7,139.0,145,114,27,62,7,0,0,false,,,
2024-04-01 01:58:02,2024-04-02 01:26:02,UTC-07:00,2024-04-01 21:50:00,2024-04-01 22:22:00,32,Weightlifting,4.7,81.0,125,96,71,4,0,0,0,false,,,
2024-03-31 00:00:00,2024-04-01 02:58:02,UTC-06:00,2024-03-31 17:30:00,2024-03-31 18:45:00,75,Mountain Biking,11.2,494.0,155,119,21,11,46,1,0,false,,,
2024-03-31 00:00:00,2024-04-01 02:58:02,UTC-06:00,2024-03-31 16:51:00,2024-03-31 17:29:43,38,Activity,10.9,379.0,158,136,13,16,48,23,0,false,,,
2024-03-22 01:04:49,2024-03-22 23:59:53,UTC-06:00,2024-03-22 10:04:00,2024-03-22 15:04:00,300,Skiing,10.6,857.0,147,95,26,18,1,0,0,false,,,
2024-03-20 02:51:10,2024-03-21 00:51:08,UTC-07:00,2024-03-20 17:55:47,2024-03-20 19:56:22,120,Weightlifting,16.4,1065.0,178,131,18,25,14,34,3,false,,,
2024-03-17 02:01:18,2024-03-18 04:23:47,UTC-07:00,2024-03-17 17:43:10,2024-03-17 19:09:34,86,Weightlifting,7.7,315.0,157,100,39,11,13,1,0,false,,,
2024-03-16 04:42:49,2024-03-17 02:01:18,UTC-07:00,2024-03-16 19:51:00,2024-03-16 23:48:05,237,Weightlifting,5.6,396.0,130,79,21,2,0,0,0,false,,,
2024-03-14 02:46:40,2024-03-15 02:13:45,UTC-07:00,2024-03-14 20:36:11,2024-03-14 22:21:25,105,Weightlifting,8.1,369.0,149,100,46,16,8,0,0,false,,,
2024-03-11 03:17:46,2024-03-12 01:38:39,UTC-07:00,2024-03-11 18:56:04,2024-03-11 20:05:45,69,Water Polo,12.4,563.0,166,128,8,28,33,19,0,false,,,
2024-03-11 03:17:46,2024-03-12 01:38:39,UTC-07:00,2024-03-11 14:42:53,2024-03-11 16:38:43,115,Weightlifting,6.0,260.0,134,93,47,8,0,0,0,false,,,
2024-03-06 03:45:00,2024-03-07 03:05:18,UTC-08:00,2024-03-06 20:42:27,2024-03-06 21:46:25,63,Weightlifting,6.0,197.0,133,101,62,20,0,0,0,false,,,
2024-03-04 02:11:33,2024-03-05 04:34:04,UTC-08:00,2024-03-04 18:56:14,2024-03-04 21:17:27,141,Water Polo,14.7,924.0,169,118,33,13,17,21,0,false,,,
2024-03-02 02:24:45,2024-03-03 03:47:35,UTC-08:00,2024-03-02 10:58:34,2024-03-02 12:37:35,99,Water Polo,,,,,,,,,,false,,,
2024-02-29 01:16:00,2024-03-01 02:52:13,UTC-08:00,2024-02-29 19:08:19,2024-02-29 20:32:35,84,Water Polo,15.7,856.0,182,138,17,9,16,49,5,false,,,
2024-02-27 00:57:55,2024-02-28 02:53:10,UTC-08:00,2024-02-27 19:08:18,2024-02-27 20:01:07,52,Weightlifting,5.5,151.0,144,97,41,14,6,0,0,false,,,
2024-02-25 03:03:03,2024-02-26 03:35:49,UTC-08:00,2024-02-25 14:27:03,2024-02-25 15:34:43,67,Wheelchair Pushing,9.2,436.0,143,119,13,71,14,0,0,false,,,
2024-02-25 03:03:03,2024-02-26 03:35:49,UTC-08:00,2024-02-25 13:20:05,2024-02-25 14:26:12,66,High Stress Work,5.0,144.0,130,90,32,11,0,0,0,false,,,
2024-02-24 02:22:54,2024-02-25 03:03:03,UTC-08:00,2024-02-24 14:24:35,2024-02-24 15:44:49,80,High Stress Work,13.5,776.0,161,136,5,13,76,6,0,false,,,
2024-02-24 02:22:54,2024-02-25 03:03:03,UTC-08:00,2024-02-24 12:49:58,2024-02-24 14:22:14,92,Weightlifting,5.2,180.0,137,92,37,7,0,0,0,false,,,
2024-02-22 01:30:30,2024-02-23 02:11:20,UTC-08:00,2024-02-22 19:06:17,2024-02-22 19:32:20,26,Operations - Tactical,10.5,298.0,181,144,0,15,41,36,7,false,,,
2024-02-19 04:03:07,2024-02-20 02:12:08,UTC-08:00,2024-02-19 20:17:06,2024-02-19 20:58:43,41,Weightlifting,4.5,79.0,131,89,37,8,0,0,0,false,,,
